[query_results] id:358 修复成功 | 2.701863048018078e+18 → 2701863048018078208
[query_results] id:207 修复成功 | 3.303435074304027e+18 → 3303435074304027136
[query_results] id:212 修复成功 | 3.303552327112013e+18 → 3303552327112012800
[query_results] id:216 修复成功 | 3.303615758713003e+18 → 3303615758713003008
[query_results] id:206 修复成功 | 3.3040016418030075e+18 → 3304001641803007488
[query_results] id:211 修复成功 | 3.3046838070660306e+18 → 3304683807066030592
[query_results] id:217 修复成功 | 3.3048671552230047e+18 → 3304867155223004672
[query_results] id:209 修复成功 | 3.3049909944310134e+18 → 3304990994431013376
[query_results] id:220 修复成功 | 3.3057191650270054e+18 → 3305719165027005440
[query_results] id:215 修复成功 | 3.305790984369002e+18 → 3305790984369001984
[query_results] id:392 修复成功 | 3.7320063236166175e+18 → 3732006323616617472
[query_results] id:373 修复成功 | 3.7361682562512584e+18 → 3736168256251258368
[query_results] id:383 修复成功 | 3.7361772753871334e+18 → 3736177275387133440
[query_results] id:343 修复成功 | 3.736419125629704e+18 → 3736419125629704192
[query_results] id:344 修复成功 | 3.73655125839356e+18 → 3736551258393560064
[query_results] id:347 修复成功 | 3.736569907843848e+18 → 3736569907843848192
[query_results] id:348 修复成功 | 3.736581465526655e+18 → 3736581465526654976
[query_results] id:346 修复成功 | 3.7366633062183905e+18 → 3736663306218390528
[query_results] id:351 修复成功 | 3.7366833723045606e+18 → 3736683372304560640
[query_results] id:345 修复成功 | 3.736689711185812e+18 → 3736689711185811968
[query_results] id:349 修复成功 | 3.7367076941955133e+18 → 3736707694195513344
[query_results] id:350 修复成功 | 3.7367085495811057e+18 → 3736708549581105664
[query_results] id:352 修复成功 | 3.736710417261154e+18 → 3736710417261153792
[query_results] id:356 修复成功 | 5.052004778004562e+18 → 5052004778004561920
[query_results] id:354 修复成功 | 5.08112949788261e+18 → 5081129497882609664
[query_results] id:210 修复成功 | 5.116571460981007e+18 → 5116571460981007360
[query_results] id:213 修复成功 | 5.117095369625013e+18 → 5117095369625013248
[query_results] id:214 修复成功 | 5.117489784237021e+18 → 5117489784237021184
[query_results] id:219 修复成功 | 5.117649120083016e+18 → 5117649120083015680
[query_results] id:376 修复成功 | 5.117802447908004e+18 → 5117802447908003840
[query_results] id:218 修复成功 | 5.117915916196043e+18 → 5117915916196042752
[query_results] id:208 修复成功 | 5.118201542414007e+18 → 5118201542414007296
[query_results] id:385 修复成功 | 6.920482714679672e+18 → 6920482714679671808
[query_results] id:382 修复成功 | 6.922398801542151e+18 → 6922398801542151168
[query_results] id:387 修复成功 | 6.923143634950258e+18 → 6923143634950257664
[query_results] id:360 修复成功 | 6.9254458996813e+18 → 6925445899681300480
[query_results] id:374 修复成功 | 6.925857335186324e+18 → 6925857335186324480
[query_results] id:286 修复成功 | 6.925889596570632e+18 → 6925889596570632192
[query_results] id:367 修复成功 | 6.925935322308444e+18 → 6925935322308444160
[query_results] id:359 修复成功 | 6.9259692738019e+18 → 6925969273801900032
[query_results] id:366 修复成功 | 6.925987943355023e+18 → 6925987943355023360
[query_results] id:389 修复成功 | 6.926013227665752e+18 → 6926013227665752064
[query_results] id:370 修复成功 | 6.92605699784242e+18 → 6926056997842419712
[query_results] id:395 修复成功 | 6.926109319116914e+18 → 6926109319116913664
[query_results] id:365 修复成功 | 6.92611345593634e+18 → 6926113455936339968
[query_results] id:379 修复成功 | 6.926127858410618e+18 → 6926127858410617856
[query_results] id:235 修复成功 | 6.926216223727517e+18 → 6926216223727516672
[query_results] id:254 修复成功 | 6.926255624735849e+18 → 6926255624735849472
[query_results] id:371 修复成功 | 6.926314216205812e+18 → 6926314216205811712
[query_results] id:264 修复成功 | 6.926331914377723e+18 → 6926331914377722880
[query_results] id:267 修复成功 | 6.92634173842001e+18 → 6926341738420009984
[query_results] id:378 修复成功 | 6.926352822351135e+18 → 6926352822351134720
[query_results] id:386 修复成功 | 6.926354283653791e+18 → 6926354283653790720
[query_results] id:253 修复成功 | 6.926355330023652e+18 → 6926355330023652352
[query_results] id:221 修复成功 | 6.926366707873055e+18 → 6926366707873054720
[query_results] id:377 修复成功 | 6.926484093365944e+18 → 6926484093365944320
[query_results] id:271 修复成功 | 6.926484834756361e+18 → 6926484834756361216
[query_results] id:372 修复成功 | 6.926534382773895e+18 → 6926534382773895168
[query_results] id:233 修复成功 | 6.926535316949336e+18 → 6926535316949336064
[query_results] id:230 修复成功 | 6.926546193899225e+18 → 6926546193899225088
[query_results] id:240 修复成功 | 6.92655003968566e+18 → 6926550039685659648
[query_results] id:239 修复成功 | 6.926565005291913e+18 → 6926565005291913216
[query_results] id:294 修复成功 | 6.926567306667327e+18 → 6926567306667327488
[query_results] id:288 修复成功 | 6.926576579782475e+18 → 6926576579782474752
[query_results] id:256 修复成功 | 6.926580362233872e+18 → 6926580362233872384
[query_results] id:248 修复成功 | 6.926581422294335e+18 → 6926581422294335488
[query_results] id:237 修复成功 | 6.92658255311749e+18 → 6926582553117490176
[query_results] id:275 修复成功 | 6.926588452782506e+18 → 6926588452782505984
[query_results] id:265 修复成功 | 6.926591032960909e+18 → 6926591032960909312
[query_results] id:232 修复成功 | 6.926594238111448e+18 → 6926594238111448064
[query_results] id:270 修复成功 | 6.926605141148663e+18 → 6926605141148662784
[query_results] id:250 修复成功 | 6.926605986790932e+18 → 6926605986790932480
[query_results] id:308 修复成功 | 6.926609756186903e+18 → 6926609756186902528
[query_results] id:305 修复成功 | 6.926616455967505e+18 → 6926616455967505408
[query_results] id:257 修复成功 | 6.926617651922304e+18 → 6926617651922304000
[query_results] id:324 修复成功 | 6.926633181154148e+18 → 6926633181154148352
[query_results] id:289 修复成功 | 6.926640024472354e+18 → 6926640024472353792
[query_results] id:314 修复成功 | 6.926641980330114e+18 → 6926641980330114048
[query_results] id:224 修复成功 | 6.926642719976161e+18 → 6926642719976161280
[query_results] id:226 修复成功 | 6.926656515332734e+18 → 6926656515332733952
[query_results] id:311 修复成功 | 6.926662901879307e+18 → 6926662901879307264
[query_results] id:296 修复成功 | 6.926666427828764e+18 → 6926666427828763648
[query_results] id:375 修复成功 | 6.926669090566996e+18 → 6926669090566995968
[query_results] id:255 修复成功 | 6.926669537771617e+18 → 6926669537771617280
[query_results] id:337 修复成功 | 6.926671109520719e+18 → 6926671109520718848
